iteration,loss,q_mean,td_error,action_entropy,reward,avg_reward,global_reward,avg_global_reward,eps
1,0.374507300555706,0.03545178659260273,-0.4537727013230324,0.053022148087620735,-0.4807170033454895,-0.4807170033454895,3.1328201293945312,3.1328201293945312,tensor(0.9990)
2,0.35522955656051636,0.03503789007663727,-0.44623272866010666,0.030587862245738506,-0.4630630612373352,-0.47189003229141235,3.268632650375366,3.2007263898849487,tensor(0.9980)
3,0.3566235303878784,0.0347959790378809,-0.4177013710141182,0.024201827123761177,-0.5231492519378662,-0.4889764388402303,3.244359016418457,3.2152705987294516,tensor(0.9970)
4,0.34095920622348785,0.034956930205225945,-0.41261783987283707,0.5690572261810303,-0.4786764085292816,-0.48640143126249313,2.805081844329834,3.112723410129547,tensor(0.9960)
5,0.37289222329854965,0.035633658058941364,-0.5266292095184326,0.6677829623222351,-0.6632080078125,-0.5217627465724946,1.7300976514816284,2.836198258399963,tensor(0.9950)
6,0.3704008311033249,0.036785188131034374,-0.5307506769895554,0.5189026892185211,-0.6179617643356323,-0.5377959161996841,1.8644999265670776,2.674248536427816,tensor(0.9940)
7,0.4144681915640831,0.0384885361418128,-0.537814311683178,0.3226284012198448,-0.6115020513534546,-0.5483253640787942,1.9554884433746338,2.5715685231345042,tensor(0.9930)
8,0.41287652403116226,0.04127104766666889,-0.5831500291824341,0.26491984724998474,-0.7061264514923096,-0.5680505000054836,1.3791873455047607,2.422520875930786,tensor(0.9920)
9,0.4133962243795395,0.04583088308572769,-0.5888048261404037,0.2898755818605423,-0.6484992504119873,-0.5769892500506507,0.9464569091796875,2.2585137685139975,tensor(0.9910)
10,0.4076775312423706,0.0530669167637825,-0.5701621770858765,0.3122518062591553,-0.6639814972877502,-0.5856884747743607,0.7857304215431213,2.1112354338169097,tensor(0.9900)
11,0.433644600212574,0.06298611871898174,-0.5773703455924988,0.32008659839630127,-0.7632408142089844,-0.6139408558607101,0.2632461488246918,1.8242780357599258,tensor(0.9891)
12,0.4481654539704323,0.07613053359091282,-0.6097262650728226,0.3323342725634575,-0.7571079134941101,-0.6433453410863876,-0.19408588111400604,1.4780061826109887,tensor(0.9881)
13,0.4339439198374748,0.09693293273448944,-0.5993713140487671,0.3985641598701477,-0.7247926592826843,-0.6635096818208694,0.16621093451976776,1.1701913744211196,tensor(0.9871)
14,0.4653042405843735,0.12991352565586567,-0.6316591650247574,0.5694149434566498,-0.9008641839027405,-0.7057284593582154,-1.0945584774017334,0.780227342247963,tensor(0.9861)
15,0.45316872000694275,0.17967380583286285,-0.6209964007139206,0.5387009978294373,-0.7289530634880066,-0.712302964925766,-0.37648439407348633,0.5695691376924514,tensor(0.9851)
16,0.43282271921634674,0.25213127955794334,-0.5814681500196457,0.5441941544413567,-0.8575785756111145,-0.7362646460533142,-0.7605313062667847,0.3070660144090652,tensor(0.9841)
17,0.39093874394893646,0.3552379161119461,-0.4856598675251007,0.6009249985218048,-0.8331646919250488,-0.7584309101104736,-1.246332049369812,-0.013116034865379333,tensor(0.9831)
18,0.3359495773911476,0.4949284642934799,-0.36366307735443115,0.5711473226547241,-0.9538019895553589,-0.7831984639167786,-0.902648389339447,-0.2412996083498001,tensor(0.9822)
19,0.3021943047642708,0.6715085655450821,-0.1716955006122589,0.6081374883651733,-0.8131657242774963,-0.7996651113033295,-0.9001718759536743,-0.4259624868631363,tensor(0.9812)
20,0.2958696186542511,0.853303387761116,0.021932178176939487,0.6399770528078079,-0.9094555974006653,-0.824212521314621,-1.2782851457595825,-0.6323640435934067,tensor(0.9802)
21,0.30298567563295364,0.9625335186719894,0.027147556422278285,0.6025149673223495,-0.9471362829208374,-0.8426020681858063,-1.046410083770752,-0.763329666852951,tensor(0.9792)
22,0.274445004761219,0.965953603386879,0.07903841976076365,0.5775664746761322,-0.9532397985458374,-0.862215256690979,-1.6102774143218994,-0.9049488201737403,tensor(0.9782)
23,0.2612744867801666,0.9354391098022461,-0.003688639495521784,0.5849984884262085,-0.9473884105682373,-0.8844748318195343,-1.5674141645431519,-1.0783113300800324,tensor(0.9773)
